record_id,customer_name,customer_email,order_date,product,amount,region,status
0,Allison Hill,donaldgarcia@example.net,2026-05-27,begin,134.8,United States,complete
1,Amanda Davis,williamjohnson@example.org,15/11/2025,science,3684.99,APAC,
2,Connie Lawrence,blakeerik@example.com,2024-09-29,clearly,2956.56,US,Complete
3,Phillip Garcia,wdavis@example.net,08/07/2024,animal,1170.98,emea,Complete
4,Kimberly Dudley,smiller@example.net,31/07/2025,training,3582.94,APAC,cancelled
5,Corey Jones,kendragalloway@example.org,29/04/2026,husband,2251.55,United States,Complete
6,Mark Diaz,michael41@example.net,18/08/2025,none,3493.72,United States,COMPLETE
7,Carla Gray,gabriellecameron@example.org,31/05/2024,almost,4786.49,United States,Complete
8,Jennifer Jones,jason76@example.net,06-Feb-2025,evidence,492.61,,COMPLETE
9,Patrick Ryan,zhurst@example.com,05-20-2024,certainly,4037.57,APAC,Pending
10,Ann Williams,hernandezernest@example.net,2024-12-28,attack,4865.85,EMEA,Complete
11,Kyle Mcdonald,tasha01@example.net,05-19-2026,social,4148.73,emea,COMPLETE
12,Martin Rodriguez,amoore@example.net,09/05/2026,everyone,3525.81,US,
13,Pamela Romero,harrellkenneth@example.net,04-01-2025,decide,4926.26,,complete
14,Phillip Ryan,georgetracy@example.org,07-Jul-2026,unit,1397.09,APAC,COMPLETE
15,Dr. Cynthia Allen,millertodd@example.org,08-29-2026,no,1782.8,APAC,COMPLETE
16,Betty Alvarez,josephbrennan@example.com,2026-08-14,woman,3049.56,us,cancelled
17,Monica Harris,raymond57@example.net,29/01/2025,end,825.38,EMEA,COMPLETE
18,George Chapman,briannasmith@example.net,14/08/2025,drop,3426.23,,Complete
19,Andre Rivera,joshuawashington@example.net,2024-02-15,worry,4027.18,EMEA,COMPLETE
20,Laura Sanchez,maguirre@example.org,07/01/2024,lawyer,4566.55,emea,
21,Jason Shields,nuneztracey@example.org,28/11/2023,should,3280.64,EMEA,
22,Scott Wright,amandataylor@example.org,24/07/2024,enjoy,1331.75,us,
23,Angela Morton,williamsyvette@example.org,08-20-2026,with,3737.6,EMEA,cancelled
24,Cynthia Russell,zlewis@example.org,03-21-2024,able,1104.41,us,cancelled
25,Mrs. Rachel Gibson,uhorton@example.net,2025-09-17,message,3781.35,,Complete
26,Edward Novak,adkinsbrian@example.net,26/02/2025,wide,3962.48,EMEA,cancelled
27,Brooke Yu,yorkcasey@example.org,02-Oct-2025,easy,1914.28,EMEA,cancelled
28,Todd Hudson,harveyrobert@example.net,2025-06-03,four,3404.61,US,
29,Christina Moran,josephanderson@example.net,08-16-2024,four,3845.31,United States,Complete
